Time_in_MC_cycles,replica,temperature,Etot,ExVol,LocExVol,Bias,TorsionTerm,HBMM,HBMS,Hydrophobicity,ChargedSCInteraction,rg,rmsdA,rmsdB,QA999,0,0.7,180.600443,9.355022,208.153944,3.759776,-26.884706,-6.466781,-1.403223,-2.831465,-3.082125,23.593390,18.679527,0.973257,0.206751
1999,0,0.7,180.612475,9.843518,210.183186,2.575316,-28.698230,-6.988423,-3.042568,-3.658926,0.398601,22.003671,17.241662,1.197103,0.312046
2999,0,0.7,172.359077,5.968937,207.862810,2.119739,-31.073057,-4.780859,-5.644651,-0.891558,-1.202285,21.665002,17.965857,1.395424,0.199159
3999,0,0.7,171.780711,9.389590,211.889172,5.534576,-27.327822,-16.717494,-0.490846,-6.238592,-4.257873,21.497958,17.702170,1.801652,0.258699
4999,0,0.7,180.552796,9.107829,209.617137,6.471880,-28.595827,-6.232738,-4.400514,-1.538692,-3.876280,21.982959,17.469830,2.142628,0.324239
5999,0,0.692443,181.852120,11.011509,216.891976,0.370967,-33.095745,-5.473354,-0.631052,-4.259319,-2.962862,18.498034,12.464099,2.217773,0.300582
6999,0,0.692443,181.603412,7.146549,211.887475,0.928948,-27.633821,-3.496447,-1.784990,-2.057009,-3.387294,28.903887,22.957222,1.932274,0.237951
7999,0,0.692443,193.168642,11.907000,209.287901,6.084879,-26.875579,-0.046218,-1.639547,-6.056114,0.506321,20.958495,14.623064,2.076040,0.254969
8999,0,0.692443,169.057147,6.851430,205.124586,0.878749,-33.554325,-3.959770,-2.862635,-2.287163,-1.133725,19.253570,12.367984,1.975416,0.224099
9999,0,0.692443,182.424595,8.579190,206.172574,2.164770,-27.518191,-5.711893,-0.000163,-1.261692,0.000000,21.580278,14.593770,1.476796,0.297877
10999,0,0.684968,178.026388,7.460024,209.073655,1.491516,-30.435894,-3.061435,-3.180136,-1.321523,-1.999819,20.250949,15.133592,1.517893,0.290912
11999,0,0.684968,173.877268,7.159098,206.852493,-0.068462,-31.028074,-1.869393,-2.121992,-3.685350,-1.361053,24.387359,21.617283,1.768877,0.232811
12999,0,0.684968,171.141426,8.142513,207.915283,3.471979,-35.239288,-4.520765,-2.909867,-3.668405,-2.050024,22.222022,16.679595,1.372366,0.336446
13999,0,0.684968,164.437624,11.451983,207.904372,-0.639967,-32.775601,-8.655229,-6.091130,-3.040273,-3.716531,19.268644,13.807968,1.722522,0.192215
14999,0,0.684968,179.343833,6.675810,206.785089,2.178151,-30.343989,-0.778648,-2.984934,-0.364476,-1.823170,32.321067,26.557418,2.265305,0.177552
15999,0,0.677574,169.860856,5.897984,202.613008,1.743754,-30.333738,-5.707124,-0.695794,-3.243046,-0.414188,27.665008,23.023862,1.372127,0.270048
16999,0,0.677574,179.123501,9.492803,212.055533,5.337368,-34.614163,-4.913911,-1.860643,-2.696542,-3.676945,18.552709,12.789444,2.367990,0.261307
17999,0,0.677574,179.750019,7.898360,210.421082,4.699294,-29.275921,-6.656767,-1.166239,-5.154156,-1.015634,27.179063,21.050233,0.515099,0.289466
18999,0,0.677574,180.339737,10.712257,206.291775,-0.046658,-30.573491,-0.075576,-3.588780,-2.379790,0.000000,21.122301,18.134397,2.154480,0.215758
19999,0,0.677574,155.604235,6.322783,206.747994,0.814429,-35.225383,-7.052230,-8.550217,-3.589838,-3.863304,22.258552,17.574320,2.189023,0.340780
20999,0,0.670259,173.693465,7.329911,205.199640,1.959747,-32.025194,-2.440118,-1.681744,-4.648776,0.000000,19.485536,14.077796,1.546668,0.283207
21999,0,0.670259,179.513033,10.531533,214.200243,1.596380,-33.686808,-2.002814,-5.808746,-3.926554,-1.390200,24.249591,18.114013,2.132999,0.228519
22999,0,0.670259,177.465717,10.660248,209.868395,6.616559,-35.526229,-3.502694,-1.998517,-3.875035,-4.777011,21.974824,15.490642,1.532175,0.258232
23999,0,0.670259,170.010692,8.971664,204.875472,2.690980,-27.917532,-7.400310,-2.962391,-6.197772,-2.049420,20.219221,14.371637,2.413643,0.324617
24999,0,0.670259,188.543382,8.709157,215.394108,3.197753,-28.315996,-5.148022,-1.265752,-1.423824,-2.604041,28.240435,23.853368,1.952912,0.338298
